date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:23	76/76	---M--	200	added ('OK')	text/plain	date:Tue,%2015%20Dec%202009%2021:51:05%20GMT	http://www.capsu.org/robots.txt		(from )
11:50:24	13732/13732	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Dec%202009%2021:51:33%20GMT	http://www.capsu.org/1503/	C:/My%20Web%20Sites/1503%20guide/www.capsu.org/1503/index.html	(from )
11:50:24	5615/5615	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Dec%202009%2013:10:43%20GMT	http://www.capsu.org/css/1503.css	C:/My%20Web%20Sites/1503%20guide/www.capsu.org/css/1503.css	(from )
11:50:24	5700/5700	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Dec%202009%2021:53:31%20GMT	http://www.capsu.org/css/print.css	C:/My%20Web%20Sites/1503%20guide/www.capsu.org/css/print.css	(from )
11:50:24	766/766	---M--	200	added ('OK')	text/plain	date:Tue,%2015%20Dec%202009%2021:51:29%20GMT	http://www.capsu.org/1503/favicon.ico	C:/My%20Web%20Sites/1503%20guide/www.capsu.org/1503/favicon.ico	(from )
11:50:24	10456/10456	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Dec%202009%2021:51:11%20GMT	http://www.capsu.org/1503/1.html	C:/My%20Web%20Sites/1503%20guide/www.capsu.org/1503/1.html	(from )
11:50:25	19611/19611	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Dec%202009%2021:51:13%20GMT	http://www.capsu.org/1503/2.html	C:/My%20Web%20Sites/1503%20guide/www.capsu.org/1503/2.html	(from )
11:50:27	39807/39807	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Dec%202009%2021:51:14%20GMT	http://www.capsu.org/1503/3.html	C:/My%20Web%20Sites/1503%20guide/www.capsu.org/1503/3.html	(from )
11:50:27	7245/7245	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Dec%202009%2021:51:14%20GMT	http://www.capsu.org/1503/4.html	C:/My%20Web%20Sites/1503%20guide/www.capsu.org/1503/4.html	(from )
11:50:27	5983/5983	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Dec%202009%2021:51:15%20GMT	http://www.capsu.org/1503/5.html	C:/My%20Web%20Sites/1503%20guide/www.capsu.org/1503/5.html	(from )
